File: weaviate
Type: inuse_space
Time: Mar 7, 2024 at 1:10pm (CET)
Showing nodes accounting for 2099.83MB, 96.06% of 2186.05MB total
Dropped 251 nodes (cum <= 10.93MB)
      flat  flat%   sum%        cum   cum%
         0     0% 96.06%   603.65MB 27.61%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*hnswCommitLogger).startCombineAndCondenseLogs
         0     0% 96.06%   390.06MB 17.84%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).Do
         0     0% 96.06%   354.70MB 16.23%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw.(*neighborFinderConnector).connectNeighborAtLevel
         0     0% 96.06%    14.40MB  0.66%  github.com/weaviate/weaviate/adapters/repos/db/vector/hnsw/visited.(*Pool).Borrow
         0     0% 96.06%   611.97MB 27.99%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).CycleCallback
         0     0% 96.06%   611.97MB 27.99%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1
         0     0% 96.06%   611.97MB 27.99%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackParallel.func1.1
         0     0% 96.06%   611.97MB 27.99%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackSequential
         0     0% 96.06%   611.97MB 27.99%  github.com/weaviate/weaviate/entities/cyclemanager.(*cycleCallbackGroup).cycleCallbackSequential.func1
         0     0% 96.06%    33.75MB  1.54%  github.com/weaviate/weaviate/grpc/generated/protocol/v1._Weaviate_BatchObjects_Handler
         0     0% 96.06%    33.75MB  1.54%  google.golang.org/grpc.(*Server).handleStream
         0     0% 96.06%    33.75MB  1.54%  google.golang.org/grpc.(*Server).processUnaryRPC
         0     0% 96.06%    33.75MB  1.54%  google.golang.org/grpc.(*Server).serveStreams.func1.1
         0     0% 96.06%    10.94MB   0.5%  main.main
         0     0% 96.06%    39.72MB  1.82%  runtime.doInit (inline)
         0     0% 96.06%    39.72MB  1.82%  runtime.doInit1
         0     0% 96.06%    50.66MB  2.32%  runtime.main
